course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
The Science of Everyday Thinking,318399,Beginner,Business & Management,English,0,2016,Si,99,No,edX
Gestion de projets de développement,41663,Intermediate,Business & Management,French,0,1680,Si,25,No,edX
Product Management Fundamentals,11913,Beginner,Business & Management,English,0,672,Si,199,No,edX
International Human Rights Law,74424,Expert,Law,English,0,2016,Si,150,No,edX
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Intermediate,Education & Teacher Training,English,0,1344,Si,49,No,edX
Data Science and Machine Learning Capstone Project,21809,Intermediate,Data Analysis & Statistics,English,0,1008,Si,99,No,edX
"Data Science for Construction, Architecture and Engineering",11113,Beginner,Data Analysis & Statistics,English,0,1176,Si,199,No,edX
"Nutrition, Heart Disease and Diabetes",24986,Intermediate,Food & Nutrition,English,0,840,Si,99,No,edX
Project Management for Development,62099,Intermediate,Business & Management,English,0,1680,Si,49,No,edX
Introduction to Cloud Infrastructure Technologies,86923,Beginner,Computer Science,English,0,2352,Si,169,No,edX
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Beginner,Art & Culture,English,0,840,Si,65,No,edX
Machine Learning,150855,Expert,Computer Science,English,0,2016,Si,249,No,edX
Introducción a la gestión de proyectos,98517,Beginner,Business & Management,Spanish,0,840,Si,50,No,edX
Free Cash Flow Analysis,36085,Beginner,Business & Management,English,0,840,Si,225,No,edX
Lean Production,55926,Beginner,Business & Management,English,0,1008,Si,99,No,edX
Introduction to Algebra,131197,Beginner,Math,English,0,672,Si,139,No,edX
"LaTeX for Students, Engineers, and Scientists",11823,Beginner,Engineering,English,0,1176,Si,139,No,edX
Leading With Effective Communication (Inclusive Leadership Training),107770,Beginner,Communication,English,0,672,Si,50,No,edX
Anatomy: Musculoskeletal and Integumentary Systems,51969,Beginner,Biology & Life Sciences,English,0,672,Si,49,No,edX
"Inglés empresarial: ventas, gestión y liderazgo",10897,Beginner,Business & Management,English,0,672,Si,49,No,edX
Business Strategy from Wharton: Competitive Advantage,26675,Intermediate,Business & Management,English,0,1008,Si,199,No,edX
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Beginner,Social Sciences,Spanish,0,672,Si,49,No,edX
Introducción al desarrollo de aplicaciones web,27757,Beginner,Computer Science,Spanish,0,840,Si,49,No,edX
"Six Sigma: Analyze, Improve, Control",56016,Beginner,Business & Management,English,0,1344,Si,99,No,edX
Introducción a la inteligencia emocional,18830,Beginner,Social Sciences,Spanish,0,672,Si,49,No,edX
AP® Microeconomics,53664,Beginner,Economics & Finance,English,0,2016,Si,49,No,edX
Engineering Calculus and Differential Equations,21535,Beginner,Math,English,0,1008,Si,50,No,edX
Linear Algebra - Foundations to Frontiers,88570,Intermediate,Computer Science,English,0,2520,Si,49,No,edX
Habilidades de negociación y comunicación efectiva,19614,Beginner,Business & Management,Spanish,0,672,Si,149,No,edX
Effective Communication for Today's Leader,8862,Intermediate,Business & Management,English,0,672,Si,149,No,edX
Electric Cars: Technology,40972,Intermediate,Engineering,English,0,672,Si,50,No,edX
Site Planning Online,12948,Intermediate,Design,English,0,1680,Si,99,No,edX
Macroeconometric Forecasting,69358,Intermediate,Economics & Finance,English,0,1512,Si,25,No,edX
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Beginner,Economics & Finance,Spanish,0,1680,Si,25,No,edX
Fundamentals of Red Hat Enterprise Linux,53788,Beginner,Computer Science,English,0,1512,Si,99,No,edX
Algorithms,61722,Intermediate,Computer Science,English,0,1008,Si,149,No,edX
Calculus Applied!,54976,Intermediate,Math,English,0,1680,Si,99,No,edX
Precalculus,55576,Intermediate,Math,English,0,2520,Si,49,No,edX
Fundamentos de anatomía y técnica quirúrgica básica,12133,Beginner,Medicine,Spanish,0,672,Si,49,No,edX
Business Communications,60713,Beginner,Business & Management,English,0,1008,Si,150,No,edX
Italian Language and Culture: Intermediate (2019-2020),35058,Intermediate,Language,Italian,0,2016,Si,49,No,edX
