Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
722682,Advanced Excel functions,Si,20,1964,All,1.5,4.2,English,Finance & Accounting,2016,39280,Udemy
808506,Candlestick Analysis For Professional Traders,Si,95,913,Expert,2.0,4.3,English,Finance & Accounting,2016,86735,Udemy
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,Si,200,2092,All,3.5,4.6,English,Finance & Accounting,2015,418400,Udemy
358062,Financial Modeling: Build a Complete DCF Valuation Model,Si,95,2240,All,2.5,4.5,English,Finance & Accounting,2014,212800,Udemy
372234,Hands-on Financial Modeling (With 6 Excel Templates),Si,30,4601,Intermediate,4.0,4.0,English,Finance & Accounting,2015,138030,Udemy
822514,CAIIB Advanced Bank Management (Part I),Si,25,2953,All,20.5,4.4,English,Finance & Accounting,2016,73825,Udemy
1045726,Stock Market investment:Non financial fundamental analysis,Si,125,1091,Beginner,3.0,3.6,English,Finance & Accounting,2016,136375,Udemy
943426,Learn How to Play CashFlow Game,Si,35,1459,Beginner,1.0,3.9,English,Finance & Accounting,2016,51065,Udemy
46927,Basics of Business Finance,Si,30,4855,Beginner,4.0,4.1,English,Finance & Accounting,2013,145650,Udemy
867440,"Bitcoin: el futuro del dinero, hoy",Si,200,57,Intermediate,3.0,4.0,Spanish,Finance & Accounting,2016,11400,Udemy
1103590,Trading con retrocesos de Fibonacci,Si,25,14,All,2.5,4.2,Spanish,Finance & Accounting,2017,350,Udemy
1172370,Mit Finanzwissen zu besserem Unternehmertum,Si,50,49,Beginner,3.0,4.6,German,Finance & Accounting,2017,2450,Udemy
673702,Como hacer empresa en 10 sesiones prácticas,Si,20,11,Intermediate,0.5,4.8,Spanish,Finance & Accounting,2015,220,Udemy
821108,المحاسبة للإداريين و غير المحاسبين,Si,20,9,Beginner,0.7166666666666667,4.4,Arabic,Finance & Accounting,2016,180,Udemy
863998,株式投資で本当のファンダメンタル分析ができるようになる,Si,20,91,All,2.0,4.4,Japanese,Finance & Accounting,2016,1820,Udemy
822926,Curso de Trading práctico basado en casos reales,Si,20,44,All,10.0,4.2,Spanish,Finance & Accounting,2016,880,Udemy
666254,Curso Avanzado de Trading,Si,125,106,All,20.5,3.9,Spanish,Finance & Accounting,2015,13250,Udemy
986034,Technical Analysis Using Elliott Wave Theory,Si,60,217,All,1.0,4.8,English,Finance & Accounting,2016,13020,Udemy
42642,The Basics Of Volume Analysis,Si,60,611,All,1.5,4.3,English,Finance & Accounting,2013,36660,Udemy
471428,Crash Course on Cost of Capital and Capital Structuring,No,0,5007,All,3.0,4.8,English,Finance & Accounting,2015,0,Udemy
